"Experiment","Target","Date","Variable","Method","Unit","Value","Data.Description","X","Experiment.URI","Target.URI","Variable.URI","Data.Description.URI"
"LBE_ANSWER2019_1","1_PCC9432ax_n23","2019-05-27T12:30:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","1008.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000019","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n22","2019-05-27T12:30:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","1008.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000018","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n21","2019-05-27T12:30:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","1008.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000017","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n20","2019-05-27T12:30:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","1008.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000016","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n19","2019-05-27T12:30:00.000+0200","ExperimentalElapseTime_BatchElapsedTime_Hour","BatchElapsedTime","Hour","1008.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000015","http://www.opensilex.org/weis/id/variables/v049","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n24","2019-05-27T12:30:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","4.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000020","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n23","2019-05-27T12:30:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","4.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000019","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n22","2019-05-27T12:30:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","4.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000018","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n21","2019-05-27T12:30:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","4.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000017","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n20","2019-05-27T12:30:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","4.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000016","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n19","2019-05-27T12:30:00.000+0200","HRT_HRTCalculation_Days","HRTCalculation","Days","4.0","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000015","http://www.opensilex.org/weis/id/variables/v050","http://www.opensilex.org/weis/id/provenance/1588062970037"
"LBE_ANSWER2019_1","1_PCC9432ax_n24","2019-05-27T12:30:00.000+0200","PAR_FluorescentTube_µmol/s/m²","FluorescentTube","µmol/s/m²","29.2","LBE",NA,"http://www.opensilex.org/weis/WS2019-2","http://www.opensilex.org/weis/2020/o20000020","http://www.opensilex.org/weis/id/variables/v051","http://www.opensilex.org/weis/id/provenance/1588062970037"
